body_type,price,vat,make1,model1,short_description1_displ,km1,age1,hp1,Type1,Body_Color1,Upholstery1,Nr_of_Doors1,Nr_of_Seats1,Gearing_Type1,Displacement1,Cylinders1,Weight1,Drive_chain1,Fuel1,Consump_comb1,Consump_city1,Consump_country1,CO2_Emission1,Comfort_point1,Entertainment_point1,Extras_point1,Safety_point1,Gears1
Compact,11949,VAT deductible,Audi,A1,1.0,57500.0,3.9178082191780823,70.0,Used,White,Cloth,3.0,4.0,Manual,1.0,3.0,,front,Gasoline,4.4,4.4,4.4,104.0,5.0,6.0,1.0,12.0,5.0
Sedans,11890,,Audi,A1,1.0,73945.0,3.6684931506849314,70.0,Used,White,Cloth,3.0,5.0,Manual,1.0,,1110.0,,Gasoline,4.4,4.4,4.4,104.0,8.0,3.0,,12.0,5.0
Sedans,11600,VAT deductible,Audi,A1,1.4,96000.0,2.419178082191781,66.0,Used,Red,,5.0,5.0,Manual,1.4,3.0,1195.0,,Diesel,3.7,3.7,3.7,97.0,6.0,1.0,1.0,13.0,5.0
Sedans,11900,Price negotiable,Audi,A1,1.0,43120.0,3.1671232876712327,60.0,Used,Red,,3.0,4.0,Manual,1.0,3.0,1110.0,,Gasoline,4.2,4.2,4.2,97.0,4.0,1.0,3.0,13.0,5.0
Compact,11630,VAT deductible,Audi,A1,1.4,110715.0,3.9178082191780823,66.0,Used,Silver,Cloth,5.0,5.0,Manual,1.4,,,,Diesel,,,,,11.0,6.0,2.0,9.0,5.0
Compact,11880,VAT deductible,Audi,A1,1.0,31971.0,3.6684931506849314,60.0,Used,Black,Cloth,3.0,4.0,Manual,1.0,4.0,1110.0,,Gasoline,4.4,4.4,4.4,10.0,6.0,5.0,1.0,12.0,5.0
Compact,11800,VAT deductible,Audi,A1,1.4,94800.0,3.8328767123287673,66.0,Used,Grey,Cloth,4.0,4.0,Manual,1.4,,,,Diesel,3.4,3.4,3.4,91.0,13.0,5.0,1.0,13.0,
Compact,11850,VAT deductible,Audi,A1,1.4,85000.0,3.8328767123287673,66.0,Used,Grey,Cloth,4.0,4.0,Manual,1.4,,,,Diesel,3.4,3.4,3.4,91.0,13.0,5.0,1.0,13.0,
Compact,11569,VAT deductible,Audi,A1,1.4,111265.0,3.7534246575342465,66.0,Used,Black,Cloth,5.0,5.0,Manual,1.4,,,,Diesel,,,,,10.0,6.0,1.0,9.0,5.0
Sedans,11490,VAT deductible,Audi,A1,1.0,44120.0,3.9178082191780823,66.0,Used,Black,Cloth,2.0,,Manual,1.4,3.0,,front,Diesel,3.6,3.6,3.6,94.0,8.0,5.0,,12.0,
Sedans,11490,VAT deductible,Audi,A1,1.0,97976.0,3.5013698630136987,70.0,Used,Black,Cloth,3.0,4.0,Manual,1.0,3.0,1110.0,front,Gasoline,4.2,4.2,4.2,99.0,8.0,5.0,2.0,12.0,5.0
Sedans,11500,,Audi,A1,1.4,106000.0,3.5013698630136987,66.0,Used,Grey,,5.0,4.0,Manual,1.4,3.0,1195.0,,Diesel,3.7,3.7,3.7,97.0,12.0,4.0,1.0,10.0,5.0
Sedans,11790,,Audi,A1,1.6,60000.0,3.5013698630136987,85.0,Used,Black,,5.0,5.0,Manual,1.6,4.0,1250.0,,Diesel,3.7,3.7,3.7,97.0,5.0,1.0,1.0,13.0,5.0
Compact,11490,,Audi,A1,,58000.0,3.6684931506849314,60.0,Used,Black,Part leather,2.0,4.0,Manual,1.0,,,,Gasoline,4.4,4.4,4.4,10.0,9.0,2.0,3.0,11.0,
Compact,11470,VAT deductible,Audi,A1,1.0,57454.0,3.1671232876712327,60.0,Used,Black,Cloth,3.0,4.0,Manual,1.0,,1675.0,front,Gasoline,4.4,4.4,4.4,104.0,11.0,7.0,3.0,13.0,5.0
Compact,11480,VAT deductible,Audi,A1,1.4,94055.0,3.1671232876712327,66.0,Used,White,Cloth,4.0,4.0,Manual,1.4,,,,Diesel,,,,,12.0,3.0,2.0,10.0,
