price,Nr_of_Doors3,Comfort_point3,Nr_of_Seats3,Safety_point3,Entertainment_point3,age3,Extras_point3,Gears3,Cylinders3,Consump_country3,Consump_city3,Consump_comb3,CO2_Emission3,Weight3,hp3,km3,make3_Audi,make3_Opel,make3_Renault,model3_A1,model3_A2,model3_A3,model3_Astra,model3_Clio,model3_Corsa,model3_Duster,model3_Espace,model3_Insignia,Gearing_Type3_Automatic,Gearing_Type3_Manual,Gearing_Type3_Semi-automatic,Fuel3_Diesel,Fuel3_Electric,Fuel3_Gasoline,Fuel3_LPG/CNG,Type3_Demonstration,Type3_Employee's car,Type3_New,Type3_Pre-registered,Type3_Used,body_type3_Compact,body_type3_Convertible,body_type3_Coupe,body_type3_Off-Road,body_type3_Other,body_type3_Sedans,body_type3_Station wagon,body_type3_Transporter,body_type3_Van,Body_Color3_Beige,Body_Color3_Black,Body_Color3_Blue,Body_Color3_Bronze,Body_Color3_Brown,Body_Color3_Gold,Body_Color3_Green,Body_Color3_Grey,Body_Color3_Orange,Body_Color3_Red,Body_Color3_Silver,Body_Color3_Violet,Body_Color3_White,Body_Color3_Yellow,Upholstery3_Cloth,Upholstery3_Full leather,Upholstery3_Part leather,vat3_Price negotiable,vat3_VAT deductible,Drive_chain3_4WD,Drive_chain3_front,Drive_chain3_rear
11300,5.0,5.0,5.0,14.0,1.0,3.5013698630136987,1.0,5.0,3.0,4.2,4.2,4.2,97.0,1135.0,70.0,67800.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
18900,5.0,2.0,5.0,5.0,5.0,1.6684931506849314,1.0,7.0,3.0,4.3,4.3,4.3,99.0,1229.0,66.0,14556.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
11290,4.0,5.0,4.0,11.0,5.0,3.7534246575342474,1.0,6.0,3.0,4.4,4.4,4.4,117.0,1229.0,70.0,22000.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
11290,5.0,12.0,5.0,12.0,5.0,3.5013698630136987,3.0,5.0,3.0,3.3,3.0,3.3,93.0,1195.0,66.0,38400.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
11440,3.0,9.0,4.0,13.0,6.0,3.5863013698630137,2.0,5.0,3.0,3.6,3.6,3.6,95.0,1195.0,66.0,83307.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
11445,3.0,5.0,4.0,12.0,3.0,3.7534246575342474,2.0,5.0,3.0,4.4,4.4,4.4,104.0,1229.0,70.0,39668.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
11700,5.0,7.0,5.0,14.0,2.0,3.3342465753424664,1.0,5.0,3.0,3.7,3.7,3.7,97.0,1195.0,66.0,30353.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
11900,5.0,12.0,4.0,13.0,7.0,3.5013698630136987,1.0,5.0,3.0,3.7,3.7,3.7,97.0,1205.0,66.0,124136.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
11949,3.0,5.0,4.0,12.0,6.0,3.9178082191780814,1.0,5.0,3.0,4.4,4.4,4.4,104.0,1229.0,70.0,57500.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
11890,3.0,8.0,5.0,12.0,3.0,3.668493150684931,3.0,5.0,3.0,4.4,4.4,4.4,104.0,1110.0,70.0,73945.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
11600,5.0,6.0,5.0,13.0,1.0,2.419178082191781,1.0,5.0,3.0,3.7,3.7,3.7,97.0,1195.0,66.0,96000.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
11900,3.0,4.0,4.0,13.0,1.0,3.1671232876712327,3.0,5.0,3.0,4.2,4.2,4.2,97.0,1110.0,60.0,43120.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
11630,5.0,11.0,5.0,9.0,6.0,3.9178082191780814,2.0,5.0,3.0,4.4,4.4,4.4,86.0,1229.0,66.0,110715.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
11880,3.0,6.0,4.0,12.0,5.0,3.668493150684931,1.0,5.0,4.0,4.4,4.4,4.4,117.0,1110.0,60.0,31971.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
11800,4.0,13.0,4.0,13.0,5.0,3.8328767123287673,1.0,6.0,3.0,3.4,3.4,3.4,91.0,1229.0,66.0,94800.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
11850,4.0,13.0,4.0,13.0,5.0,3.8328767123287673,1.0,6.0,3.0,3.4,3.4,3.4,91.0,1229.0,66.0,85000.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
